Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp
Hotspot,String-9_Module-20,Low,14,Clean Panel,No Action,943,Cloudy,2023-02-19 10:00:00
Shadowing,String-2_Module-11,Medium,14,Remove Obstruction,Remove Obstruction,292,Rainy,2023-07-23 11:00:00
Shadowing,String-6_Module-7,Critical,6,Reinstall Module,No Action,813,Cloudy,2023-04-20 19:00:00
Shadowing,String-8_Module-17,Critical,13,Reinstall Module,Inspection Done,611,Sunny,2023-07-23 05:00:00
Shadowing,String-6_Module-9,Critical,6,Reinstall Module,Reinstall Module,631,Rainy,2023-02-24 04:00:00
Shadowing,String-1_Module-8,Low,1,Clean Panel,Inspection Done,877,Rainy,2023-06-29 20:00:00
Hotspot,String-4_Module-13,Medium,11,Inspect Cells,Inspect Cells,358,Sunny,2023-02-14 10:00:00
Shadowing,String-3_Module-6,Medium,13,Remove Obstruction,No Action,213,Sunny,2023-02-20 06:00:00
Shadowing,String-8_Module-12,Low,3,Clean Panel,No Action,572,Sunny,2023-06-17 06:00:00
Shadowing,String-7_Module-6,Low,5,Clean Panel,No Action,424,Cloudy,2023-01-20 12:00:00
Hotspot,String-6_Module-4,Medium,3,Inspect Cells,Inspection Done,704,Rainy,2023-04-09 15:00:00
Hotspot,String-4_Module-2,Critical,10,Replace Module,Inspection Done,272,Rainy,2023-05-08 22:00:00
Short Circuit,String-1_Module-7,Low,3,Inspect Junction Box,Inspection Done,448,Cloudy,2023-07-19 12:00:00
Short Circuit,String-7_Module-19,Medium,14,Replace Fuse,No Action,710,Sunny,2023-07-07 14:00:00
Open Circuit,String-7_Module-9,Low,10,Tighten Connection,No Action,802,Cloudy,2023-06-19 02:00:00
Open Circuit,String-1_Module-3,Low,3,Tighten Connection,Inspection Done,415,Cloudy,2023-06-03 19:00:00
Shadowing,String-7_Module-7,Low,5,Clean Panel,No Action,801,Sunny,2023-06-02 02:00:00
Open Circuit,String-1_Module-10,High,13,Replace Wiring,No Action,740,Rainy,2023-07-19 02:00:00
Short Circuit,String-8_Module-6,Medium,5,Replace Fuse,Replace Fuse,419,Sunny,2023-03-28 15:00:00
Hotspot,String-2_Module-15,Critical,4,Replace Module,No Action,926,Rainy,2023-02-24 13:00:00
Hotspot,String-9_Module-1,Critical,1,Replace Module,No Action,420,Cloudy,2023-07-04 07:00:00
Short Circuit,String-6_Module-9,Low,5,Inspect Junction Box,Inspect Junction Box,588,Rainy,2023-01-21 18:00:00
Short Circuit,String-10_Module-18,High,10,Replace Wiring,Inspection Done,753,Rainy,2023-04-21 22:00:00
Open Circuit,String-4_Module-5,Medium,5,Replace Connector,Inspection Done,846,Rainy,2023-06-07 16:00:00
Short Circuit,String-2_Module-6,Critical,4,Replace Module,Inspection Done,241,Sunny,2023-07-15 10:00:00
Open Circuit,String-1_Module-10,Critical,6,Replace Module,Replace Module,875,Sunny,2023-07-12 05:00:00
Shadowing,String-7_Module-15,Low,10,Clean Panel,Clean Panel,482,Sunny,2023-05-15 20:00:00
Hotspot,String-9_Module-10,Medium,4,Inspect Cells,No Action,257,Cloudy,2023-05-02 11:00:00
Short Circuit,String-10_Module-12,Critical,14,Replace Module,Inspection Done,736,Cloudy,2023-01-08 23:00:00
Shadowing,String-7_Module-10,Low,7,Clean Panel,Inspection Done,272,Rainy,2023-01-01 22:00:00
Shadowing,String-1_Module-6,Critical,7,Reinstall Module,Reinstall Module,328,Cloudy,2023-01-16 05:00:00
Open Circuit,String-10_Module-2,Low,2,Tighten Connection,No Action,798,Rainy,2023-02-26 15:00:00
Short Circuit,String-4_Module-20,Low,3,Inspect Junction Box,Inspect Junction Box,625,Cloudy,2023-01-12 02:00:00
Hotspot,String-1_Module-19,High,1,Replace Panel Section,Inspection Done,864,Rainy,2023-03-18 20:00:00
Short Circuit,String-4_Module-7,Medium,8,Replace Fuse,No Action,893,Cloudy,2023-03-01 03:00:00
Open Circuit,String-2_Module-2,Medium,9,Replace Connector,Replace Connector,324,Sunny,2023-02-22 13:00:00
Hotspot,String-2_Module-20,High,4,Replace Panel Section,No Action,266,Cloudy,2023-03-19 05:00:00
Hotspot,String-1_Module-8,High,6,Replace Panel Section,Inspection Done,205,Cloudy,2023-05-19 04:00:00
Hotspot,String-4_Module-7,Medium,9,Inspect Cells,No Action,836,Rainy,2023-02-25 08:00:00
Hotspot,String-10_Module-14,Medium,6,Inspect Cells,No Action,513,Cloudy,2023-02-15 03:00:00
Open Circuit,String-9_Module-8,Low,14,Tighten Connection,Inspection Done,525,Cloudy,2023-02-11 19:00:00
Short Circuit,String-3_Module-19,High,12,Replace Wiring,No Action,764,Cloudy,2023-01-20 15:00:00
Shadowing,String-6_Module-20,High,12,Adjust Tilt,Adjust Tilt,777,Rainy,2023-07-25 04:00:00
Short Circuit,String-4_Module-16,Low,12,Inspect Junction Box,No Action,705,Sunny,2023-05-18 00:00:00
Short Circuit,String-5_Module-19,Low,9,Inspect Junction Box,Inspect Junction Box,281,Cloudy,2023-05-07 20:00:00
Hotspot,String-7_Module-6,Medium,4,Inspect Cells,No Action,798,Sunny,2023-07-23 04:00:00
Hotspot,String-8_Module-11,Low,8,Clean Panel,No Action,201,Rainy,2023-02-03 09:00:00
Short Circuit,String-2_Module-8,Medium,9,Replace Fuse,Replace Fuse,403,Cloudy,2023-02-04 02:00:00
Shadowing,String-7_Module-5,High,4,Adjust Tilt,Inspection Done,861,Sunny,2023-05-25 13:00:00
Hotspot,String-9_Module-13,Critical,5,Replace Module,No Action,603,Cloudy,2023-03-27 23:00:00
Shadowing,String-1_Module-20,Low,14,Clean Panel,Inspection Done,302,Sunny,2023-05-26 07:00:00
Open Circuit,String-1_Module-19,Critical,8,Replace Module,No Action,735,Sunny,2023-07-22 10:00:00
Short Circuit,String-5_Module-2,High,12,Replace Wiring,No Action,567,Cloudy,2023-03-07 05:00:00
Short Circuit,String-4_Module-11,Low,10,Inspect Junction Box,Inspect Junction Box,411,Sunny,2023-05-02 01:00:00
Open Circuit,String-4_Module-5,High,14,Replace Wiring,Replace Wiring,776,Sunny,2023-02-04 06:00:00
Open Circuit,String-1_Module-17,High,6,Replace Wiring,Inspection Done,408,Sunny,2023-05-31 17:00:00
Shadowing,String-5_Module-15,Critical,12,Reinstall Module,No Action,962,Rainy,2023-07-26 15:00:00
Short Circuit,String-5_Module-5,High,7,Replace Wiring,Inspection Done,316,Rainy,2023-02-22 08:00:00
Open Circuit,String-6_Module-18,Medium,3,Replace Connector,Replace Connector,827,Rainy,2023-02-07 08:00:00
Short Circuit,String-8_Module-16,Low,7,Inspect Junction Box,Inspection Done,948,Cloudy,2023-01-15 03:00:00
Shadowing,String-10_Module-7,Critical,12,Reinstall Module,Reinstall Module,677,Rainy,2023-03-13 07:00:00
Short Circuit,String-9_Module-14,Medium,14,Replace Fuse,Inspection Done,304,Rainy,2023-05-01 22:00:00
Open Circuit,String-3_Module-11,High,8,Replace Wiring,No Action,694,Rainy,2023-06-09 11:00:00
Hotspot,String-9_Module-11,Critical,10,Replace Module,No Action,970,Cloudy,2023-06-21 20:00:00
Hotspot,String-3_Module-11,Medium,6,Inspect Cells,Inspection Done,245,Rainy,2023-05-30 05:00:00
Shadowing,String-1_Module-17,Medium,10,Remove Obstruction,No Action,530,Cloudy,2023-04-01 20:00:00
Shadowing,String-10_Module-6,Critical,9,Reinstall Module,Inspection Done,415,Sunny,2023-05-04 16:00:00
Hotspot,String-6_Module-3,Medium,13,Inspect Cells,Inspect Cells,691,Rainy,2023-07-19 21:00:00
Shadowing,String-3_Module-6,Medium,6,Remove Obstruction,No Action,648,Rainy,2023-04-30 14:00:00
Open Circuit,String-6_Module-13,Low,12,Tighten Connection,No Action,735,Rainy,2023-02-27 08:00:00
Hotspot,String-7_Module-7,Critical,9,Replace Module,Inspection Done,710,Sunny,2023-07-21 00:00:00
Hotspot,String-2_Module-6,Medium,13,Inspect Cells,No Action,657,Rainy,2023-02-25 11:00:00
Short Circuit,String-10_Module-19,High,4,Replace Wiring,Replace Wiring,746,Sunny,2023-03-01 17:00:00
Open Circuit,String-7_Module-13,Low,8,Tighten Connection,Inspection Done,735,Rainy,2023-02-28 02:00:00
Shadowing,String-7_Module-1,Low,11,Clean Panel,Clean Panel,739,Sunny,2023-03-31 12:00:00
Hotspot,String-7_Module-7,Low,4,Clean Panel,Clean Panel,683,Rainy,2023-03-05 04:00:00
Open Circuit,String-1_Module-1,Critical,2,Replace Module,Inspection Done,215,Cloudy,2023-03-21 01:00:00
Open Circuit,String-10_Module-8,Low,10,Tighten Connection,No Action,770,Rainy,2023-03-25 20:00:00
Hotspot,String-3_Module-5,Medium,11,Inspect Cells,Inspection Done,442,Rainy,2023-02-24 17:00:00
Hotspot,String-10_Module-8,Critical,9,Replace Module,No Action,406,Sunny,2023-05-11 11:00:00
Open Circuit,String-9_Module-5,Low,5,Tighten Connection,No Action,470,Cloudy,2023-06-07 11:00:00
Shadowing,String-5_Module-13,Low,4,Clean Panel,Clean Panel,960,Cloudy,2023-02-07 20:00:00
Shadowing,String-3_Module-13,Low,2,Clean Panel,Clean Panel,978,Cloudy,2023-04-07 01:00:00
Short Circuit,String-10_Module-11,High,1,Replace Wiring,No Action,904,Sunny,2023-03-19 21:00:00
Shadowing,String-7_Module-3,Medium,11,Remove Obstruction,Remove Obstruction,929,Sunny,2023-06-01 18:00:00
Shadowing,String-2_Module-7,Medium,7,Remove Obstruction,Inspection Done,314,Sunny,2023-03-09 15:00:00
Shadowing,String-10_Module-9,Low,6,Clean Panel,Inspection Done,779,Sunny,2023-04-07 15:00:00
Open Circuit,String-4_Module-4,Critical,2,Replace Module,No Action,498,Cloudy,2023-05-13 19:00:00
Hotspot,String-4_Module-15,High,8,Replace Panel Section,No Action,682,Cloudy,2023-03-02 23:00:00
Shadowing,String-9_Module-12,Critical,11,Reinstall Module,Reinstall Module,596,Rainy,2023-06-12 16:00:00
Shadowing,String-4_Module-9,Low,4,Clean Panel,Inspection Done,593,Cloudy,2023-07-26 07:00:00
Hotspot,String-5_Module-14,Medium,8,Inspect Cells,No Action,274,Rainy,2023-01-24 17:00:00
Shadowing,String-9_Module-18,High,7,Adjust Tilt,No Action,681,Cloudy,2023-05-31 15:00:00
Open Circuit,String-10_Module-19,Low,5,Tighten Connection,Inspection Done,302,Cloudy,2023-03-06 10:00:00
Short Circuit,String-1_Module-6,High,10,Replace Wiring,No Action,496,Rainy,2023-04-08 23:00:00
Short Circuit,String-5_Module-3,Critical,10,Replace Module,Replace Module,377,Cloudy,2023-06-19 08:00:00
Short Circuit,String-7_Module-11,Medium,12,Replace Fuse,Replace Fuse,414,Cloudy,2023-03-09 00:00:00
Shadowing,String-1_Module-6,High,8,Adjust Tilt,Inspection Done,514,Cloudy,2023-05-03 12:00:00
Hotspot,String-7_Module-5,High,14,Replace Panel Section,No Action,238,Rainy,2023-05-23 16:00:00
Open Circuit,String-3_Module-7,High,9,Replace Wiring,Replace Wiring,458,Rainy,2023-06-26 00:00:00
Shadowing,String-1_Module-1,High,5,Adjust Tilt,Inspection Done,915,Sunny,2023-07-23 07:00:00
Hotspot,String-6_Module-16,Medium,10,Inspect Cells,Inspect Cells,206,Rainy,2023-04-02 10:00:00
Short Circuit,String-5_Module-8,Low,5,Inspect Junction Box,Inspection Done,248,Cloudy,2023-04-20 15:00:00
Open Circuit,String-8_Module-18,Low,2,Tighten Connection,No Action,737,Rainy,2023-01-27 12:00:00
Hotspot,String-8_Module-14,Critical,5,Replace Module,Replace Module,360,Sunny,2023-02-02 00:00:00
Hotspot,String-9_Module-9,Medium,3,Inspect Cells,Inspection Done,375,Cloudy,2023-04-05 03:00:00
Short Circuit,String-7_Module-3,Critical,7,Replace Module,Replace Module,790,Sunny,2023-07-05 01:00:00
Shadowing,String-7_Module-15,High,10,Adjust Tilt,Adjust Tilt,201,Cloudy,2023-02-14 20:00:00
Shadowing,String-2_Module-12,Medium,5,Remove Obstruction,Inspection Done,654,Cloudy,2023-04-12 08:00:00
Open Circuit,String-10_Module-19,High,8,Replace Wiring,Inspection Done,843,Rainy,2023-01-12 10:00:00
Open Circuit,String-3_Module-19,Medium,1,Replace Connector,Replace Connector,475,Cloudy,2023-02-07 13:00:00
Open Circuit,String-8_Module-18,High,3,Replace Wiring,No Action,697,Cloudy,2023-05-12 10:00:00
Open Circuit,String-7_Module-14,High,3,Replace Wiring,Replace Wiring,828,Sunny,2023-01-12 08:00:00
Hotspot,String-4_Module-15,Low,9,Clean Panel,Inspection Done,875,Sunny,2023-04-02 03:00:00
Shadowing,String-7_Module-16,Medium,5,Remove Obstruction,No Action,999,Sunny,2023-05-31 04:00:00
Short Circuit,String-2_Module-18,Low,12,Inspect Junction Box,Inspect Junction Box,227,Cloudy,2023-02-16 07:00:00
Short Circuit,String-8_Module-19,Medium,9,Replace Fuse,Replace Fuse,532,Cloudy,2023-04-06 23:00:00
Open Circuit,String-9_Module-17,Low,13,Tighten Connection,Tighten Connection,200,Rainy,2023-05-28 01:00:00
Hotspot,String-10_Module-2,Medium,9,Inspect Cells,Inspect Cells,387,Rainy,2023-05-13 04:00:00
Shadowing,String-4_Module-10,Medium,1,Remove Obstruction,Remove Obstruction,255,Rainy,2023-02-27 17:00:00
Shadowing,String-6_Module-11,Critical,2,Reinstall Module,Inspection Done,746,Sunny,2023-01-08 11:00:00
Hotspot,String-8_Module-2,Medium,5,Inspect Cells,No Action,311,Sunny,2023-03-31 13:00:00
Shadowing,String-8_Module-1,Low,4,Clean Panel,Clean Panel,997,Rainy,2023-05-19 23:00:00
Shadowing,String-2_Module-13,Medium,10,Remove Obstruction,No Action,509,Sunny,2023-02-25 14:00:00
Open Circuit,String-10_Module-6,Critical,9,Replace Module,Inspection Done,235,Sunny,2023-06-23 17:00:00
Open Circuit,String-9_Module-5,Medium,7,Replace Connector,No Action,638,Cloudy,2023-05-23 21:00:00
Hotspot,String-2_Module-15,Medium,6,Inspect Cells,Inspect Cells,928,Sunny,2023-01-03 01:00:00
Shadowing,String-3_Module-13,High,7,Adjust Tilt,Adjust Tilt,791,Rainy,2023-07-20 11:00:00
Hotspot,String-10_Module-18,Medium,1,Inspect Cells,No Action,794,Sunny,2023-03-22 00:00:00
Open Circuit,String-10_Module-1,Medium,1,Replace Connector,Replace Connector,776,Cloudy,2023-02-08 13:00:00
Hotspot,String-7_Module-15,High,8,Replace Panel Section,Inspection Done,524,Rainy,2023-01-10 03:00:00
Shadowing,String-6_Module-18,Medium,13,Remove Obstruction,Inspection Done,839,Sunny,2023-05-30 21:00:00
Short Circuit,String-10_Module-17,Low,13,Inspect Junction Box,Inspect Junction Box,506,Cloudy,2023-02-25 10:00:00
Hotspot,String-5_Module-8,Medium,2,Inspect Cells,Inspection Done,733,Rainy,2023-01-19 12:00:00
Short Circuit,String-9_Module-4,Low,12,Inspect Junction Box,Inspection Done,927,Cloudy,2023-05-22 09:00:00
Shadowing,String-7_Module-9,Low,10,Clean Panel,Inspection Done,818,Cloudy,2023-03-17 16:00:00
Open Circuit,String-10_Module-2,High,11,Replace Wiring,Inspection Done,308,Rainy,2023-02-05 03:00:00
Shadowing,String-3_Module-17,High,9,Adjust Tilt,Inspection Done,571,Rainy,2023-02-01 19:00:00
Hotspot,String-1_Module-4,Low,7,Clean Panel,Clean Panel,556,Sunny,2023-06-12 11:00:00
Open Circuit,String-5_Module-2,Medium,6,Replace Connector,Inspection Done,380,Cloudy,2023-06-02 07:00:00
Open Circuit,String-9_Module-2,Medium,1,Replace Connector,Inspection Done,555,Sunny,2023-06-26 16:00:00
Open Circuit,String-3_Module-17,Critical,1,Replace Module,Replace Module,875,Sunny,2023-02-26 12:00:00
Shadowing,String-5_Module-17,Medium,2,Remove Obstruction,Remove Obstruction,267,Rainy,2023-04-22 08:00:00
Open Circuit,String-9_Module-17,Low,6,Tighten Connection,No Action,491,Cloudy,2023-07-17 18:00:00
Hotspot,String-8_Module-9,Medium,14,Inspect Cells,Inspection Done,891,Rainy,2023-01-31 07:00:00
Open Circuit,String-7_Module-19,Critical,6,Replace Module,No Action,380,Rainy,2023-02-08 08:00:00
Shadowing,String-7_Module-13,Low,2,Clean Panel,Clean Panel,665,Sunny,2023-02-15 04:00:00
Open Circuit,String-1_Module-8,Low,1,Tighten Connection,No Action,633,Rainy,2023-02-10 23:00:00
Shadowing,String-7_Module-7,Low,10,Clean Panel,No Action,663,Rainy,2023-04-01 07:00:00
Hotspot,String-10_Module-13,High,5,Replace Panel Section,Replace Panel Section,880,Sunny,2023-03-04 18:00:00
Hotspot,String-8_Module-1,High,5,Replace Panel Section,Inspection Done,733,Rainy,2023-01-28 17:00:00
Short Circuit,String-5_Module-5,Low,2,Inspect Junction Box,Inspection Done,265,Rainy,2023-04-12 19:00:00
Short Circuit,String-10_Module-1,High,6,Replace Wiring,Replace Wiring,220,Sunny,2023-07-19 20:00:00
Open Circuit,String-6_Module-8,Medium,9,Replace Connector,Replace Connector,811,Sunny,2023-01-04 01:00:00
Short Circuit,String-7_Module-2,High,2,Replace Wiring,Replace Wiring,583,Rainy,2023-03-27 07:00:00
Shadowing,String-5_Module-8,Critical,10,Reinstall Module,No Action,814,Sunny,2023-05-09 03:00:00
Hotspot,String-1_Module-12,Medium,2,Inspect Cells,Inspect Cells,758,Rainy,2023-05-02 03:00:00
Short Circuit,String-2_Module-18,Critical,3,Replace Module,Inspection Done,238,Cloudy,2023-05-31 01:00:00
Hotspot,String-4_Module-13,High,13,Replace Panel Section,No Action,484,Rainy,2023-04-03 20:00:00
Short Circuit,String-10_Module-15,Low,7,Inspect Junction Box,Inspection Done,801,Cloudy,2023-06-20 02:00:00
Short Circuit,String-7_Module-14,High,6,Replace Wiring,Inspection Done,796,Cloudy,2023-02-21 23:00:00
Short Circuit,String-1_Module-13,Medium,12,Replace Fuse,Replace Fuse,984,Sunny,2023-05-18 15:00:00
Shadowing,String-2_Module-5,Critical,8,Reinstall Module,Inspection Done,535,Cloudy,2023-05-08 06:00:00
Hotspot,String-3_Module-2,Critical,8,Replace Module,No Action,387,Rainy,2023-03-29 13:00:00
Short Circuit,String-7_Module-19,Critical,6,Replace Module,No Action,870,Sunny,2023-02-13 23:00:00
Open Circuit,String-2_Module-15,Critical,12,Replace Module,Replace Module,442,Cloudy,2023-07-14 06:00:00
Shadowing,String-7_Module-20,Medium,11,Remove Obstruction,Remove Obstruction,272,Sunny,2023-07-21 09:00:00
Short Circuit,String-9_Module-16,Medium,10,Replace Fuse,Replace Fuse,678,Sunny,2023-05-17 11:00:00
Shadowing,String-3_Module-12,Critical,3,Reinstall Module,Inspection Done,760,Cloudy,2023-05-29 01:00:00
Open Circuit,String-5_Module-17,High,3,Replace Wiring,No Action,300,Sunny,2023-02-28 22:00:00
Open Circuit,String-2_Module-11,High,1,Replace Wiring,No Action,713,Rainy,2023-03-10 07:00:00
Short Circuit,String-7_Module-1,Low,7,Inspect Junction Box,No Action,955,Sunny,2023-01-11 00:00:00
Open Circuit,String-1_Module-15,Low,5,Tighten Connection,Tighten Connection,375,Cloudy,2023-05-17 03:00:00
Short Circuit,String-4_Module-2,Low,4,Inspect Junction Box,Inspection Done,437,Cloudy,2023-04-08 00:00:00
Open Circuit,String-1_Module-7,Medium,10,Replace Connector,No Action,258,Cloudy,2023-06-26 07:00:00
Shadowing,String-9_Module-16,High,4,Adjust Tilt,Inspection Done,298,Sunny,2023-02-15 04:00:00
Open Circuit,String-7_Module-10,Critical,14,Replace Module,Replace Module,694,Rainy,2023-02-24 12:00:00
Short Circuit,String-10_Module-5,High,4,Replace Wiring,Replace Wiring,713,Sunny,2023-01-19 23:00:00
Short Circuit,String-1_Module-19,Medium,6,Replace Fuse,No Action,954,Cloudy,2023-06-15 08:00:00
Shadowing,String-10_Module-9,Critical,8,Reinstall Module,No Action,496,Rainy,2023-07-10 16:00:00
Shadowing,String-1_Module-12,Medium,8,Remove Obstruction,Inspection Done,410,Rainy,2023-05-18 07:00:00
Short Circuit,String-6_Module-8,Low,5,Inspect Junction Box,Inspect Junction Box,322,Sunny,2023-01-01 22:00:00
Shadowing,String-9_Module-14,Critical,6,Reinstall Module,No Action,428,Cloudy,2023-07-15 04:00:00
Hotspot,String-5_Module-1,Critical,4,Replace Module,Inspection Done,793,Sunny,2023-04-16 16:00:00
Short Circuit,String-2_Module-6,High,12,Replace Wiring,Replace Wiring,855,Cloudy,2023-04-19 12:00:00
Short Circuit,String-8_Module-20,Low,14,Inspect Junction Box,No Action,587,Rainy,2023-04-18 18:00:00
Shadowing,String-8_Module-16,Low,11,Clean Panel,No Action,339,Sunny,2023-06-19 06:00:00
Short Circuit,String-6_Module-2,Medium,13,Replace Fuse,Replace Fuse,740,Sunny,2023-03-19 01:00:00
Shadowing,String-3_Module-2,Low,9,Clean Panel,Inspection Done,590,Rainy,2023-02-20 01:00:00
Hotspot,String-9_Module-16,Low,8,Clean Panel,No Action,469,Rainy,2023-03-08 00:00:00
Short Circuit,String-5_Module-6,Critical,10,Replace Module,No Action,958,Sunny,2023-04-11 07:00:00
Hotspot,String-9_Module-20,High,12,Replace Panel Section,Replace Panel Section,211,Cloudy,2023-01-01 00:00:00
Hotspot,String-8_Module-18,Critical,10,Replace Module,No Action,588,Cloudy,2023-05-22 23:00:00
Short Circuit,String-1_Module-16,Medium,1,Replace Fuse,No Action,536,Cloudy,2023-05-22 03:00:00
Hotspot,String-8_Module-2,Low,2,Clean Panel,No Action,705,Rainy,2023-07-10 05:00:00
Hotspot,String-4_Module-6,Low,9,Clean Panel,Inspection Done,305,Cloudy,2023-07-03 17:00:00
Hotspot,String-7_Module-7,Low,8,Clean Panel,Clean Panel,231,Cloudy,2023-03-29 07:00:00
Open Circuit,String-9_Module-1,Low,14,Tighten Connection,Tighten Connection,273,Rainy,2023-04-28 12:00:00
Hotspot,String-2_Module-11,Low,3,Clean Panel,Inspection Done,370,Rainy,2023-06-04 05:00:00
Hotspot,String-7_Module-12,High,8,Replace Panel Section,Inspection Done,268,Rainy,2023-03-26 22:00:00
Open Circuit,String-8_Module-16,Critical,12,Replace Module,Inspection Done,561,Sunny,2023-01-01 22:00:00
Open Circuit,String-4_Module-1,High,1,Replace Wiring,Inspection Done,848,Sunny,2023-04-17 07:00:00
Hotspot,String-5_Module-1,High,10,Replace Panel Section,Inspection Done,632,Sunny,2023-03-26 20:00:00
Short Circuit,String-1_Module-7,Medium,4,Replace Fuse,Inspection Done,299,Sunny,2023-07-20 21:00:00
Shadowing,String-1_Module-8,Critical,3,Reinstall Module,Inspection Done,857,Sunny,2023-06-25 08:00:00
Hotspot,String-1_Module-15,Critical,6,Replace Module,Replace Module,208,Rainy,2023-07-02 07:00:00
Open Circuit,String-3_Module-20,Medium,7,Replace Connector,Replace Connector,773,Cloudy,2023-04-26 08:00:00
Open Circuit,String-7_Module-20,Critical,4,Replace Module,Inspection Done,896,Cloudy,2023-03-12 12:00:00
Short Circuit,String-7_Module-5,Medium,7,Replace Fuse,Inspection Done,228,Cloudy,2023-03-10 07:00:00
Open Circuit,String-5_Module-9,Medium,9,Replace Connector,Replace Connector,313,Rainy,2023-01-08 01:00:00
Open Circuit,String-9_Module-20,Critical,11,Replace Module,No Action,661,Cloudy,2023-07-10 14:00:00
Shadowing,String-1_Module-4,Low,2,Clean Panel,No Action,342,Rainy,2023-07-24 14:00:00
Open Circuit,String-2_Module-7,High,11,Replace Wiring,No Action,589,Sunny,2023-02-19 13:00:00
Shadowing,String-6_Module-18,Critical,3,Reinstall Module,No Action,831,Sunny,2023-04-05 02:00:00
Hotspot,String-7_Module-8,Low,5,Clean Panel,No Action,881,Cloudy,2023-03-05 15:00:00
Open Circuit,String-7_Module-2,Low,3,Tighten Connection,Inspection Done,356,Rainy,2023-04-11 18:00:00
Shadowing,String-6_Module-8,Medium,11,Remove Obstruction,No Action,534,Sunny,2023-07-25 00:00:00
Shadowing,String-5_Module-12,Low,8,Clean Panel,Clean Panel,459,Cloudy,2023-04-06 01:00:00
Hotspot,String-1_Module-18,Critical,12,Replace Module,Inspection Done,281,Rainy,2023-02-16 23:00:00
Short Circuit,String-5_Module-13,Low,10,Inspect Junction Box,No Action,953,Cloudy,2023-01-26 01:00:00
Hotspot,String-7_Module-16,Medium,8,Inspect Cells,Inspect Cells,640,Rainy,2023-05-13 06:00:00
Shadowing,String-4_Module-11,Medium,8,Remove Obstruction,No Action,371,Cloudy,2023-07-16 16:00:00
Shadowing,String-1_Module-5,Low,12,Clean Panel,No Action,430,Cloudy,2023-05-12 04:00:00
Open Circuit,String-6_Module-16,High,12,Replace Wiring,No Action,919,Sunny,2023-07-09 14:00:00
Shadowing,String-9_Module-13,Low,9,Clean Panel,Clean Panel,274,Sunny,2023-01-17 12:00:00
Hotspot,String-1_Module-13,Low,4,Clean Panel,No Action,469,Cloudy,2023-05-16 02:00:00
Short Circuit,String-1_Module-5,Critical,5,Replace Module,Replace Module,825,Sunny,2023-07-01 05:00:00
Open Circuit,String-10_Module-18,Critical,5,Replace Module,No Action,261,Cloudy,2023-07-20 14:00:00
Open Circuit,String-1_Module-19,Low,8,Tighten Connection,Inspection Done,519,Sunny,2023-02-10 08:00:00
Short Circuit,String-1_Module-5,Low,7,Inspect Junction Box,No Action,301,Rainy,2023-05-05 12:00:00
Short Circuit,String-6_Module-6,Low,9,Inspect Junction Box,Inspect Junction Box,628,Rainy,2023-03-10 06:00:00
Shadowing,String-10_Module-12,High,14,Adjust Tilt,Adjust Tilt,921,Rainy,2023-03-20 22:00:00
Open Circuit,String-1_Module-20,Medium,8,Replace Connector,No Action,454,Cloudy,2023-07-02 01:00:00
Shadowing,String-6_Module-16,Low,2,Clean Panel,Clean Panel,731,Sunny,2023-04-11 18:00:00
Hotspot,String-10_Module-5,High,10,Replace Panel Section,Inspection Done,769,Cloudy,2023-01-15 23:00:00
Hotspot,String-10_Module-10,High,12,Replace Panel Section,Inspection Done,311,Rainy,2023-04-08 09:00:00
Hotspot,String-2_Module-18,Medium,4,Inspect Cells,No Action,512,Rainy,2023-01-06 13:00:00
Open Circuit,String-6_Module-17,Critical,6,Replace Module,Inspection Done,660,Cloudy,2023-03-14 03:00:00
Hotspot,String-7_Module-6,High,12,Replace Panel Section,Replace Panel Section,907,Cloudy,2023-02-27 07:00:00
Hotspot,String-10_Module-16,Medium,2,Inspect Cells,Inspect Cells,661,Sunny,2023-01-18 20:00:00
Hotspot,String-4_Module-14,Critical,7,Replace Module,No Action,291,Cloudy,2023-02-05 00:00:00
Shadowing,String-7_Module-1,Medium,3,Remove Obstruction,Inspection Done,251,Cloudy,2023-06-02 19:00:00
Open Circuit,String-3_Module-14,High,13,Replace Wiring,Inspection Done,719,Cloudy,2023-05-19 14:00:00
Open Circuit,String-2_Module-12,Medium,3,Replace Connector,Replace Connector,297,Sunny,2023-06-22 00:00:00
Hotspot,String-4_Module-1,Low,11,Clean Panel,Clean Panel,435,Sunny,2023-01-24 03:00:00
Shadowing,String-2_Module-14,Medium,2,Remove Obstruction,Inspection Done,573,Rainy,2023-06-19 15:00:00
Open Circuit,String-6_Module-17,High,11,Replace Wiring,No Action,780,Cloudy,2023-05-31 04:00:00
Open Circuit,String-5_Module-10,High,8,Replace Wiring,No Action,756,Sunny,2023-01-26 14:00:00
Short Circuit,String-5_Module-15,Medium,6,Replace Fuse,Replace Fuse,848,Rainy,2023-07-13 14:00:00
Hotspot,String-5_Module-12,Low,1,Clean Panel,Clean Panel,433,Rainy,2023-03-14 23:00:00
Open Circuit,String-10_Module-2,High,12,Replace Wiring,Replace Wiring,231,Rainy,2023-04-19 23:00:00
Shadowing,String-2_Module-17,Low,1,Clean Panel,Inspection Done,488,Rainy,2023-07-16 11:00:00
